Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="ce6876df-ab0e-4a45-b628-f6a3de2b1912",="AUI-10298","3","0:14","0.00","USD","1.456",="FLO | EVC329 | SLID 27044 | 10416 Irene St"
="c7e7a21e-4da0-4624-b3be-f6a9bc690e89",="AUI-10302","84","142:56","16.11","USD","582.168",="FLO | EVC330 | SLID 192527 | 722 Alameda St"
="1f7584a0-c106-47e8-8926-f89daf630d95",="AUI-10287","95","403:47","0.00","USD","1778.145",="FLO | EVC331 | SLID 225695 | 2900 S Sepulveda Blvd"
="91553e19-caa2-488a-bb86-a3a9493d84c0",="AUI-10321","53","56:08","6.69","USD","345.558",="FLO | EVC332 | SLID 102202 | 6510 Forest Lawn Drive"
="d50c42b6-6ee5-48e2-a537-eacb6512d852",="AUI-10322","24","33:04","20.82","USD","203.881",="FLO | EVC333 | SLID 163185 | 11320 Laurel Canyon Blvd"
="35975ebb-fd19-4d52-a9f9-0fdd865cdee4",="AUI-10317","18","65:08","6.39","USD","217.796",="FLO | EVC334 | SLID 138318 | 8309 Louise Ave"
="45772d6d-2724-423d-ba5e-e0008a060494",="AUI-10310","2","0:03","0.00","USD","0.215",="FLO | EVC335 | SLID 141798 | 7537 Balboa Blvd"
="138ea5e8-031c-4767-b33b-9a6db7c3fc2b",="AUI-10313","23","39:59","17.50","USD","192.641",="FLO | EVC336 | SLID 154361 | 18099 Rinaldi street"
="dbf857c2-ef28-4105-82ac-c5d78eea48d7",="AUI-10312","40","152:41","9.45","USD","610.003",="FLO | EVC337 | SLID 193696 | 21900 Plummer St"
="43254d1a-e4a4-4abd-aae7-7e69a7651220",="AUI-10307","12","9:38","2.36","USD","55.592",="FLO | EVC338 | SLID 139899 | 10567 Mason Ave"
="788fb5f1-fa69-470e-be6a-152308904ab8",="AUI-10387","8","53:15","4.10","USD","103.377",="FLO | EVC339 | SLID 19892 | 5350 San Vicente Blvd"
="d413381a-9305-4bee-854e-3af3ecec5da2",="AUI-10294","33","117:46","2.83","USD","653.716",="FLO | EVC340 | SLID 38498 | 1143 S Beverly Dr"
="e2e3a9b4-d602-4ac4-88a6-35dab47b8a28",="AUI-10292","12","8:07","0.00","USD","32.999",="FLO | EVC342 | SLID 92220 | 664 S Central Ave"
="02dc1b42-847e-4717-8a6d-a39a6c836f64",="AUI-10295","57","228:20","20.42","USD","1186.088",="FLO | EVC344 | SLID 38489 | 5931 W 18th St"
="a4cf1ed6-68ba-4c4c-8815-952c5203d41a",="AUI-10296","58","89:10","16.14","USD","206.503",="FLO | EVC345 | SLID 183654 | 6299 W 87th St"
="12b08f49-69a5-4210-bc0e-5841364ca11d",="AUI-10290","45","103:59","5.02","USD","543.671",="FLO | EVC346 | SLID 39260 | 1398 S Orange Grove Ave"
="bfcc4a24-3e9c-4a7b-b685-6802a2ec18c0",="AUI-10318","17","55:35","0.97","USD","134.4",="FLO | EVC347 | SLID 14176 | 2442 Marengo St"
="dd748924-7a65-4e6f-b0ba-fffad9b3dac1",="AUI-10319","10","4:23","0.06","USD","30.298",="FLO | EVC348 | SLID 125672 | 10108 Mason Avenue"
